Rvv,muvv,mupv,sigmav,C,conv_status
0.015, 1.0, 0.1, 0.126, 0.2404710766816824, true
0.01, 1.0, 0.1, 0.096, 0.2402408226368569, true
0.01, 1.0, 0.1, 0.03, 0.23529680579524928, true
0.005, 1.0, 0.1, 0.099, 0.24028031263879143, true
0.0, 1.0, 0.1, 0.108, 0.24036404929452526, true
0.015, 1.0, 0.1, 0.066, 0.23965989721403663, true
0.005, 1.0, 0.1, 0.03, 0.23528508772270404, true
0.005, 1.0, 0.1, 0.024, 0.23324175269702088, true
0.005, 1.0, 0.1, 0.096, 0.24024135632085034, true
0.015, 1.0, 0.1, 0.075, 0.239936608979363, true
0.015, 1.0, 0.1, 0.102, 0.24032145028445565, true
0.005, 1.0, 0.1, 0.141, 0.24051340693045214, true
0.01, 1.0, 0.1, 0.048, 0.23854791234868283, true
0.015, 1.0, 0.1, 0.132, 0.2404749186322156, true
0.02, 1.0, 0.1, 0.021, 0.2319491638547419, true
0.015, 1.0, 0.1, 0.063, 0.2395205226738421, true
0.015, 1.0, 0.1, 0.018, 0.2307445979964744, true
0.01, 1.0, 0.1, 0.018, 0.23079804072608393, true
0.01, 1.0, 0.1, 0.126, 0.24047018305759862, true
0.01, 1.0, 0.1, 0.072, 0.2398585176339751, true
0.02, 1.0, 0.1, 0.018, 0.23064215516253853, true
0.015, 1.0, 0.1, 0.099, 0.24028333393565934, true
0.01, 1.0, 0.1, 0.039, 0.23741531457099957, true
0.01, 1.0, 0.1, 0.006, 0.22490426763166232, true
0.02, 1.0, 0.1, 0.0, 0.2224550370370375, true
0.005, 1.0, 0.1, 0.006, 0.2250820930635459, true
0.0, 1.0, 0.1, 0.123, 0.24042818314109066, true
0.005, 1.0, 0.1, 0.102, 0.24032086127875282, true
0.015, 1.0, 0.1, 0.024, 0.23320616752213616, true
0.005, 1.0, 0.1, 0.15, 0.2405454248766426, true
